implementation,byte_value,time_ns,sample_id
Safe (PyCryptodome),3,3286.4,19
Vulnerable (Naive),3,16668.0,20
Safe Toy (CT SBox),3,89112.0,20
Safe (PyCryptodome),3,5229.2,20
Vulnerable (Naive),3,21678.0,21
Safe Toy (CT SBox),3,85598.2,21
Safe (PyCryptodome),3,6245.6,21
Vulnerable (Naive),3,26753.2,22
Safe Toy (CT SBox),3,83949.2,22
Safe (PyCryptodome),3,4126.8,22
Vulnerable (Naive),3,12897.8,23
Safe Toy (CT SBox),3,79453.4,23
Safe (PyCryptodome),3,5745.6,23
Vulnerable (Naive),3,25244.0,24
Safe Toy (CT SBox),3,72779.6,24
Safe (PyCryptodome),3,4926.0,24
Vulnerable (Naive),3,23318.2,25
Safe Toy (CT SBox),3,47172.2,25
Safe (PyCryptodome),3,2394.6,25
Vulnerable (Naive),3,9800.0,26
Safe Toy (CT SBox),3,39749.2,26
Safe (PyCryptodome),3,2433.4,26
Vulnerable (Naive),3,9017.8,27
Safe Toy (CT SBox),3,64760.0,27
Safe (PyCryptodome),3,5193.6,27
Vulnerable (Naive),3,14450.8,28
Safe Toy (CT SBox),3,52184.6,28
Safe (PyCryptodome),3,6002.2,28
Vulnerable (Naive),3,13457.2,29
Safe Toy (CT SBox),3,44708.8,29
Safe (PyCryptodome),3,3222.8,29
Vulnerable (Naive),3,11989.2,30
Safe Toy (CT SBox),3,56462.6,30
Safe (PyCryptodome),3,5388.8,30
Vulnerable (Naive),3,21251.8,31
Safe Toy (CT SBox),3,50025.4,31
Safe (PyCryptodome),3,2442.2,31
Vulnerable (Naive),3,9756.4,32
Safe Toy (CT SBox),3,48045.0,32
Safe (PyCryptodome),3,2068.8,32
Vulnerable (Naive),3,8343.2,33
Safe Toy (CT SBox),3,43224.4,33
Safe (PyCryptodome),3,5136.6,33
Vulnerable (Naive),3,13016.8,34
Safe Toy (CT SBox),3,42198.8,34
Safe (PyCryptodome),3,2007.6,34
Vulnerable (Naive),3,11349.4,35
Safe Toy (CT SBox),3,71639.6,35
Safe (PyCryptodome),3,2595.0,35
Vulnerable (Naive),3,9642.2,36
Safe Toy (CT SBox),3,51660.6,36
Safe (PyCryptodome),3,4449.4,36
Vulnerable (Naive),3,17268.8,37
Safe Toy (CT SBox),3,157211.0,37
Safe (PyCryptodome),3,49705.2,37
Vulnerable (Naive),3,18891.0,38
Safe Toy (CT SBox),3,128003.0,38
Safe (PyCryptodome),3,3477.6,38
Vulnerable (Naive),3,10816.8,39
